school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,median,mean,year
Texas Tech,Big 12,12.0,,12.0,12.0,12.0,,25.0,22.0,22.0,21.0,23.0,18.0,,,24.0,,21.0,,,,,21.0,18.846153846153847,2020
UNC,ACC,11.0,,4.0,4.0,4.0,16.0,23.0,,,,,,,,,,,,,,,7.5,9.928571428571429,2020
Utah State,MWC,19.0,,16.0,15.0,15.0,,,,,,,,,,,,,,,,,15.5,16.1,2020
VCU,A-10,,,19.0,19.0,19.0,,25.0,,,,,,,,,,,,,,,19.0,20.2,2020
Villanova,Big East,10.0,,15.0,21.0,21.0,20.0,14.0,9.0,9.0,16.0,15.0,11.0,10.0,12.0,16.0,13.0,12.0,12.0,8.0,9.0,,12.0,13.25,2020
Virginia,ACC,9.0,,6.0,6.0,6.0,8.0,7.0,13.0,19.0,18.0,,,,,,,,22.0,18.0,17.0,,11.0,12.307692307692308,2020
Washington,Pac-12,,,24.0,22.0,22.0,25.0,22.0,20.0,,,,,,,,,,,,,,22.0,22.428571428571427,2020
West Virginia,Big 12,,,,,,,,23.0,17.0,17.0,13.0,15.0,11.0,11.0,14.0,18.0,19.0,,23.0,24.0,,17.0,17.076923076923077,2020
Wichita State,AAC,,,,,,,,25.0,23.0,23.0,16.0,22.0,22.0,,,,,,,,,22.5,21.928571428571427,2020
Wisconsin,Big Ten,,,,,,,,,,,,,,,,,,24.0,19.0,19.0,,19.0,20.25,2020
Xavier,Big East,21.0,,21.0,23.0,23.0,,,,,,,,,,,,,,,,,22.0,22.0,2020
Alabama,SEC,25.0,,,,,,,24.0,16.0,8.0,7.0,11.0,9.0,7.0,5.0,5.0,5.0,5.0,,,,7.5,10.346153846153848,2021
Arizona State,Pac-12,17.0,,23.0,,,,,,,,,,,,,,,,,,,20.0,20.0,2021
Arkansas,SEC,,,,,,,,,,,,,,20.0,13.0,8.0,10.0,6.0,,,,10.0,11.166666666666666,2021
BYU,WCC,,,,,,,,,,,,,,,,,,,,,,,,2021
Baylor,Big 12,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,,,,2.0,2.0,2021
Clemson,ACC,,,,,,,18.0,12.0,22.0,,,,,,,,,,,,,18.0,17.5,2021
Colorado,Pac-12,,,,,,,,,23.0,,,,,,,,22.0,23.0,,,,23.0,22.75,2021
Creighton,Big East,11.0,,7.0,9.0,13.0,10.0,5.0,6.0,11.0,14.0,12.0,17.0,12.0,11.0,12.0,17.0,19.0,14.0,,,,12.0,11.77777777777778,2021
Drake,MVC,,,,,,,,,,,25.0,,,,,,,,,,,25.0,25.0,2021
Duke,ACC,8.0,,11.0,23.0,25.0,,24.0,23.0,,,,,,,,,,,,,,23.0,19.571428571428573,2021
Florida,SEC,,,25.0,,,,,,,,23.0,,,,,,,,,,,24.0,24.0,2021
Florida State,ACC,18.0,,21.0,15.0,21.0,19.0,22.0,,25.0,16.0,19.0,19.0,16.0,9.0,11.0,13.0,14.0,10.0,,,,17.0,16.764705882352942,2021
Gonzaga,WCC,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.1111111111111112,2021
Houston,AAC,18.0,,8.0,8.0,7.0,5.0,11.0,11.0,8.0,6.0,5.0,7.0,5.0,10.0,7.0,7.0,6.0,3.0,,,,7.0,7.722222222222222,2021
Illinois,Big Ten,10.0,,9.0,13.0,18.0,16.0,12.0,13.0,24.0,22.0,13.0,6.0,5.0,4.0,4.0,3.0,2.0,8.0,,,,10.0,10.666666666666666,2021
Iowa,Big Ten,6.0,,3.0,3.0,5.0,11.0,7.0,8.0,4.0,7.0,8.0,16.0,14.0,12.0,8.0,6.0,8.0,13.0,,,,8.0,8.166666666666666,2021
Kansas,Big 12,5.0,,5.0,5.0,4.0,4.0,6.0,7.0,9.0,18.0,22.0,,24.0,19.0,14.0,12.0,11.0,16.0,,,,10.0,11.235294117647058,2021
Kentucky,SEC,9.0,,,,,,,,,,,,,,,,,,,,,9.0,9.0,2021
Louisville,ACC,,,24.0,22.0,,,25.0,18.0,,23.0,,,,,,,,,,,,23.0,22.5,2021
Loyola (IL),MVC,,,,,,,,,,,,23.0,23.0,22.0,22.0,18.0,16.0,12.0,,,,22.0,19.75,2021
Michigan,Big Ten,,,,24.0,19.0,15.0,9.0,5.0,7.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,,,,4.0,7.125,2021
Michigan State,Big Ten,12.0,,4.0,4.0,11.0,18.0,,,,,,,,,,,,,,,,11.0,10.0,2021
Minnesota,Big Ten,,,,,,24.0,17.0,19.0,17.0,20.0,,,,,,,,,,,,19.0,19.33333333333333,2021
Missouri,SEC,,,,18.0,14.0,12.0,13.0,16.0,19.0,12.0,17.0,10.0,19.0,,,,,,,,,15.0,15.0,2021
Northwestern,Big Ten,,,,,,22.0,,,,,,,,,,,,,,,,22.0,22.0,2021
Ohio State,Big Ten,24.0,,20.0,19.0,20.0,20.0,,,18.0,15.0,9.0,5.0,4.0,5.0,10.0,10.0,7.0,15.0,,,,15.0,13.5,2021
Oklahoma,Big 12,,,,,,,,,,,14.0,12.0,10.0,8.0,15.0,24.0,,,,,,13.0,13.714285714285714,2021
Oklahoma State,Big 12,,,,,,,,,,,24.0,22.0,22.0,21.0,17.0,14.0,12.0,19.0,,,,20.0,19.0,2021
Oregon,Pac-12,20.0,,,,24.0,17.0,15.0,17.0,21.0,25.0,,,25.0,23.0,25.0,25.0,25.0,17.0,,,,23.0,21.571428571428573,2021
Oregon State,Pac-12,,,,,,,,,,,,,,,,,,20.0,,,,20.0,20.0,2021
Purdue,Big Ten,,,,,,,,,,,,25.0,,,23.0,19.0,20.0,,,,,21.5,21.7,2021
Richmond,A-10,,,19.0,25.0,23.0,,,,,,,,,,,,,,,,,23.0,22.5,2021
Rutgers,Big Ten,23.0,,22.0,17.0,12.0,13.0,14.0,,,,,,,,,,,,,,,15.5,16.642857142857142,2021
Saint Louis,A-10,,,,,,,23.0,24.0,,24.0,,,,,,,,,,,,24.0,23.75,2021
San Diego State,MWC,,,,20.0,,23.0,,,,,,,,25.0,21.0,19.0,18.0,,,,,20.5,20.928571428571427,2021
Syracuse,ACC,,,,,,,,,,,,,,,,,,25.0,,,,25.0,25.0,2021
Tennessee,SEC,14.0,,16.0,10.0,8.0,6.0,8.0,10.0,6.0,17.0,10.0,15.0,20.0,,,,,,,,,10.0,11.538461538461538,2021
Texas,Big 12,22.0,,12.0,11.0,10.0,9.0,4.0,4.0,5.0,5.0,6.0,13.0,13.0,16.0,16.0,16.0,9.0,21.0,,,,11.0,11.27777777777778,2021
Texas Tech,Big 12,13.0,,17.0,14.0,16.0,14.0,19.0,15.0,13.0,10.0,11.0,8.0,11.0,17.0,18.0,22.0,21.0,22.0,,,,15.0,15.333333333333334,2021
UCLA,Pac-12,21.0,,,,,,,21.0,20.0,21.0,21.0,24.0,,,,,,7.0,,,,21.0,19.5,2021
UConn,Big East,,,,,,,,,,,,,,,,,,,,,,,,2021
UNC,ACC,16.0,,14.0,21.0,17.0,,,,,,,,,,,,,,,,,16.5,16.9,2021
USC,Pac-12,,,,,,,,,,,,20.0,18.0,18.0,24.0,23.0,23.0,9.0,,,,20.0,19.375,2021
Villanova,Big East,3.0,,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,6.0,9.0,11.0,17.0,11.0,,,,4.0,5.833333333333333,2021
Virginia,ACC,4.0,,18.0,16.0,15.0,24.0,21.0,22.0,12.0,8.0,15.0,9.0,8.0,14.0,20.0,15.0,15.0,24.0,,,,15.0,15.27777777777778,2021
Virginia Tech,ACC,,,15.0,,,,20.0,20.0,14.0,19.0,16.0,17.0,17.0,15.0,19.0,21.0,24.0,,,,,18.0,18.07692307692308,2021
West Virginia,Big 12,15.0,,10.0,7.0,6.0,8.0,16.0,14.0,15.0,11.0,18.0,14.0,15.0,13.0,5.0,9.0,13.0,18.0,,,,13.0,12.22222222222222,2021
Wisconsin,Big Ten,7.0,,13.0,12.0,9.0,7.0,10.0,9.0,10.0,13.0,20.0,21.0,21.0,24.0,,,,,,,,12.0,13.428571428571429,2021
Xavier,Big East,,,,,22.0,20.0,,,,,,,,,,,,,,,,21.0,21.0,2021
Alabama,SEC,13.0,,9.0,16.0,9.0,8.0,11.0,19.0,20.0,25.0,,,,,,25.0,24.0,,,,,16.0,16.25,2022
Arizona,Pac-12,,,19.0,11.0,8.0,6.0,4.0,7.0,7.0,6.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,,,5.0,5.666666666666667,2022
Arkansas,SEC,15.0,,12.0,9.0,10.0,19.0,,,,,,,,,24.0,18.0,15.0,16.0,18.0,,,15.5,15.590909090909092,2022
Auburn,SEC,22.0,,22.0,20.0,21.0,14.0,12.0,11.0,9.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,7.0,,,6.0,8.947368421052632,2022
BYU,WCC,,,18.0,13.0,23.0,,,,,,,,,,,,,,,,,18.0,18.0,2022
Baylor,Big 12,8.0,,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,8.0,10.0,8.0,11.0,4.0,3.0,4.0,,,4.0,4.526315789473684,2022
Boise State,MWC,,,,,,,,,,,,,,,,,,,23.0,,,23.0,23.0,2022
Colorado State,MWC,,,,,,23.0,21.0,20.0,19.0,,23.0,22.0,,,,,,24.0,,,,22.0,21.75,2022
Davidson,A-10,,,,,,,,,,,,,,,,,,,,,,,,2022
Duke,ACC,9.0,,6.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,5.0,7.0,6.0,6.0,5.0,6.0,2.0,7.0,10.0,,,5.5,4.973684210526316,2022
Florida,SEC,,,24.0,12.0,16.0,,,,,,,,,,,,,,,,,16.0,17.0,2022
Florida State,ACC,19.0,,,,,,,,,,,,,,,,,,,,,19.0,19.0,2022
Gonzaga,WCC,1.0,,1.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,2022
Houston,AAC,14.0,,11.0,14.0,13.0,13.0,14.0,14.0,14.0,11.0,10.0,9.0,9.0,7.0,15.0,15.0,14.0,18.0,15.0,,,14.0,12.842105263157896,2022
Illinois,Big Ten,10.0,,15.0,,,,,,,24.0,17.0,21.0,18.0,13.0,12.0,14.0,17.0,15.0,16.0,,,15.5,15.961538461538462,2022
Iowa,Big Ten,,,,,,,,,,,,,,,,,25.0,23.0,19.0,,,23.0,22.5,2022
Iowa State,Big 12,,,,23.0,19.0,11.0,8.0,8.0,11.0,16.0,14.0,24.0,22.0,,,,,,,,,15.0,15.545454545454543,2022
Kansas,Big 12,3.0,,3.0,7.0,7.0,7.0,7.0,6.0,6.0,10.0,7.0,5.0,10.0,8.0,6.0,5.0,7.0,6.0,3.0,,,6.5,6.289473684210527,2022
Kentucky,SEC,11.0,,13.0,10.0,12.0,21.0,18.0,17.0,13.0,17.0,12.0,13.0,7.0,4.0,3.0,3.0,6.0,5.0,6.0,,,11.5,10.657894736842104,2022
LSU,SEC,,,,,24.0,20.0,16.0,16.0,21.0,12.0,16.0,18.0,25.0,,,,,,,,,18.0,18.6,2022
Loyola (IL),MVC,,,,,,,,,,,24.0,,,,,,,,,,,24.0,24.0,2022
Marquette,Big East,,,,,,,,,,,,,24.0,19.0,23.0,,,,,,,23.0,22.25,2022
Maryland,Big Ten,21.0,,,,,,,,,,,,,,,,,,,,,21.0,21.0,2022
Memphis,AAC,16.0,,10.0,19.0,,,,,,,,,,,,,,,,,,16.0,15.25,2022
Michigan,Big Ten,6.0,,13.0,24.0,,,,,,,,,,,,,,,,,,13.0,14.0,2022
Michigan State,Big Ten,,,,22.0,20.0,12.0,10.0,10.0,10.0,9.0,13.0,10.0,13.0,17.0,19.0,24.0,25.0,,,,,13.0,15.133333333333333,2022
Murray State,OVC,,,,,,,,,,,,,,24.0,21.0,21.0,22.0,19.0,20.0,,,21.0,21.142857142857142,2022
Ohio State,Big Ten,17.0,,,,22.0,15.0,13.0,12.0,12.0,15.0,18.0,16.0,16.0,16.0,18.0,19.0,23.0,25.0,,,,16.0,17.0625,2022
Oregon,Pac-12,12.0,,23.0,,,,,,,,,,,,,,,,,,,17.5,17.5,2022
Providence,Big East,,,,,,,23.0,21.0,17.0,20.0,21.0,17.0,15.0,11.0,9.0,10.0,8.0,10.0,13.0,,,15.0,15.0,2022
Purdue,Big Ten,7.0,,4.0,2.0,1.0,4.0,3.0,3.0,3.0,5.0,4.0,6.0,3.0,3.0,7.0,7.0,9.0,9.0,9.0,,,4.0,4.894736842105263,2022
Saint Mary's,WCC,,,,,,,,,,,,,,22.0,,23.0,20.0,17.0,16.0,,,20.0,19.666666666666668,2022
Seton Hall,Big East,,,20.0,,25.0,16.0,15.0,13.0,22.0,18.0,,,,,,,,,,,,18.0,18.375,2022
St. Bonaventure,A-10,24.0,,16.0,25.0,,,,,,,,,,,,,,,,,,24.0,22.25,2022
Tennessee,SEC,17.0,,17.0,15.0,14.0,18.0,19.0,15.0,18.0,23.0,25.0,20.0,20.0,18.0,13.0,17.0,13.0,11.0,8.0,,,17.0,16.736842105263158,2022
Texas,Big 12,5.0,,8.0,8.0,11.0,17.0,17.0,18.0,16.0,22.0,22.0,25.0,21.0,20.0,20.0,22.0,21.0,22.0,25.0,,,20.0,17.894736842105264,2022
Texas Tech,Big 12,,,,,,24.0,25.0,25.0,25.0,19.0,19.0,14.0,14.0,9.0,11.0,9.0,12.0,14.0,11.0,,,14.0,16.333333333333332,2022
UCLA,Pac-12,2.0,,2.0,5.0,4.0,3.0,6.0,5.0,5.0,3.0,9.0,8.0,4.0,12.0,14.0,13.0,18.0,13.0,12.0,,,5.5,7.552631578947368,2022
UConn,Big East,23.0,,21.0,17.0,18.0,22.0,,,,,25.0,19.0,17.0,23.0,24.0,20.0,19.0,20.0,21.0,,,20.5,20.633333333333333,2022
UNC,ACC,20.0,,,,,,,,,,,,,,,,,,,,,20.0,20.0,2022
USC,Pac-12,,,25.0,18.0,15.0,9.0,9.0,9.0,8.0,7.0,15.0,15.0,19.0,21.0,17.0,16.0,16.0,21.0,22.0,,,16.0,15.444444444444445,2022
Villanova,Big East,4.0,,7.0,6.0,6.0,10.0,22.0,22.0,15.0,14.0,11.0,12.0,12.0,15.0,10.0,8.0,11.0,8.0,5.0,,,10.5,10.973684210526317,2022
Virginia,ACC,25.0,,,,,,,,,,,,,,,,,,,,,25.0,25.0,2022
Virginia Tech,ACC,,,,,,,,,,,,,,,,,,,24.0,,,24.0,24.0,2022
Wake Forest,ACC,,,,,,,,,,,,,,25.0,,,,,,,,25.0,25.0,2022
Wisconsin,Big Ten,,,,21.0,17.0,,24.0,23.0,23.0,13.0,8.0,11.0,11.0,14.0,16.0,12.0,10.0,12.0,14.0,,,14.0,15.1875,2022
Wyoming,MWC,,,,,,,,,,,,,,,22.0,,,,,,,22.0,22.0,2022
Xavier,Big East,,,,,,25.0,20.0,24.0,24.0,21.0,20.0,23.0,23.0,,,,,,,,,23.0,22.55555555555556,2022
